"Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1 Oct 2023 11:19:17.649,1 Oct 2023 11:27:03.640,465.991
1 Oct 2023 11:20:46.698,1 Oct 2023 11:28:22.290,455.592
1 Oct 2023 11:21:35.131,1 Oct 2023 11:25:06.040,210.908
1 Oct 2023 11:23:46.747,1 Oct 2023 11:31:40.140,473.393
1 Oct 2023 11:23:52.036,1 Oct 2023 11:32:06.669,494.633
1 Oct 2023 11:25:17.596,1 Oct 2023 11:29:57.042,279.446
1 Oct 2023 11:26:51.883,1 Oct 2023 11:35:05.870,493.988
1 Oct 2023 11:27:23.170,1 Oct 2023 11:31:06.302,223.132
1 Oct 2023 11:28:17.315,1 Oct 2023 11:33:02.019,284.704
1 Oct 2023 11:29:33.124,1 Oct 2023 11:34:58.895,325.771
1 Oct 2023 11:30:14.705,1 Oct 2023 11:35:54.146,339.441
1 Oct 2023 11:30:19.719,1 Oct 2023 11:35:46.399,326.679
1 Oct 2023 11:32:32.976,1 Oct 2023 11:39:52.173,439.197
1 Oct 2023 11:34:45.796,1 Oct 2023 11:40:09.467,323.671
1 Oct 2023 11:34:58.307,1 Oct 2023 11:40:07.735,309.428
1 Oct 2023 11:38:58.119,1 Oct 2023 11:47:17.594,499.475
1 Oct 2023 11:40:11.131,1 Oct 2023 11:45:44.767,333.636
1 Oct 2023 11:40:13.572,1 Oct 2023 11:42:17.902,124.329
1 Oct 2023 11:40:13.624,1 Oct 2023 11:45:57.065,343.441
1 Oct 2023 11:40:40.482,1 Oct 2023 11:48:54.879,494.397
1 Oct 2023 11:42:24.277,1 Oct 2023 11:50:44.670,500.393
1 Oct 2023 11:42:31.825,1 Oct 2023 11:50:03.908,452.083
1 Oct 2023 11:43:23.589,1 Oct 2023 11:50:58.715,455.126
1 Oct 2023 11:43:40.930,1 Oct 2023 11:51:55.702,494.772
1 Oct 2023 11:44:30.568,1 Oct 2023 11:52:36.048,485.480
1 Oct 2023 11:44:40.688,1 Oct 2023 11:47:30.586,169.897
1 Oct 2023 11:44:49.650,1 Oct 2023 11:49:55.575,305.925
1 Oct 2023 11:45:19.784,1 Oct 2023 11:53:00.352,460.568
1 Oct 2023 11:45:29.491,1 Oct 2023 11:51:04.684,335.193
1 Oct 2023 11:45:31.765,1 Oct 2023 11:47:08.323,96.558
1 Oct 2023 11:45:34.551,1 Oct 2023 11:53:56.968,502.417
1 Oct 2023 11:46:49.721,1 Oct 2023 11:55:06.990,497.269
1 Oct 2023 11:48:00.730,1 Oct 2023 11:56:18.615,497.886
1 Oct 2023 11:48:06.610,1 Oct 2023 11:53:40.983,334.372
1 Oct 2023 11:54:20.056,1 Oct 2023 11:59:36.230,316.175
1 Oct 2023 11:54:50.821,1 Oct 2023 12:02:43.871,473.050
1 Oct 2023 11:55:17.062,1 Oct 2023 12:03:15.992,478.930
1 Oct 2023 11:55:32.702,1 Oct 2023 12:03:43.135,490.433
1 Oct 2023 11:56:08.375,1 Oct 2023 12:02:25.112,376.737
1 Oct 2023 11:56:44.101,1 Oct 2023 11:59:54.491,190.390
1 Oct 2023 12:00:51.838,1 Oct 2023 12:06:47.944,356.106
1 Oct 2023 12:02:44.662,1 Oct 2023 12:06:30.452,225.790
1 Oct 2023 12:02:51.007,1 Oct 2023 12:09:00.061,369.054
1 Oct 2023 12:03:27.592,1 Oct 2023 12:08:54.679,327.087
1 Oct 2023 12:04:54.762,1 Oct 2023 12:08:11.879,197.117
1 Oct 2023 12:05:29.286,1 Oct 2023 12:08:36.137,186.851
1 Oct 2023 12:05:53.717,1 Oct 2023 12:13:33.881,460.164
1 Oct 2023 12:06:21.339,1 Oct 2023 12:09:18.221,176.882
1 Oct 2023 12:07:23.496,1 Oct 2023 12:11:40.519,257.023
1 Oct 2023 12:08:33.641,1 Oct 2023 12:14:23.197,349.556
1 Oct 2023 12:10:11.579,1 Oct 2023 12:18:16.885,485.307
1 Oct 2023 12:10:21.767,1 Oct 2023 12:18:43.136,501.369
1 Oct 2023 12:11:38.988,1 Oct 2023 12:15:31.700,232.712
1 Oct 2023 12:11:50.337,1 Oct 2023 12:19:35.282,464.945
1 Oct 2023 12:13:36.976,1 Oct 2023 12:21:09.897,452.922
1 Oct 2023 12:13:50.534,1 Oct 2023 12:19:36.821,346.287
1 Oct 2023 12:14:40.117,1 Oct 2023 12:22:41.673,481.557
1 Oct 2023 12:17:23.628,1 Oct 2023 12:22:59.687,336.059
