"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
17,4 May 2023 10:39:46.507,4 May 2023 10:43:06.212,199.704
18,4 May 2023 12:14:09.383,4 May 2023 12:17:29.561,200.179
19,4 May 2023 13:48:42.124,4 May 2023 13:52:39.789,237.665
20,5 May 2023 07:39:24.264,5 May 2023 07:41:53.427,149.163
21,5 May 2023 09:13:23.324,5 May 2023 09:17:01.441,218.117
22,5 May 2023 10:48:08.070,5 May 2023 10:51:24.075,196.005
23,5 May 2023 12:22:28.446,5 May 2023 12:25:57.222,208.776
24,5 May 2023 13:57:18.453,5 May 2023 14:01:07.879,229.426
25,6 May 2023 07:46:36.432,6 May 2023 07:50:38.442,242.010
26,6 May 2023 09:21:56.936,6 May 2023 09:25:22.841,205.905
27,6 May 2023 10:56:26.652,6 May 2023 10:59:43.268,196.616
28,6 May 2023 12:30:51.120,6 May 2023 12:34:33.525,222.405
29,6 May 2023 14:06:07.332,6 May 2023 14:08:03.745,116.413
30,7 May 2023 06:22:45.049,7 May 2023 06:23:36.782,51.733
31,7 May 2023 07:55:20.003,7 May 2023 07:59:11.979,231.976
32,7 May 2023 09:30:22.704,7 May 2023 09:33:41.360,198.656

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 May 2023 11:01:43.622,1 May 2023 11:05:18.759,215.137
2,1 May 2023 12:36:24.616,1 May 2023 12:39:40.411,195.795
3,1 May 2023 14:10:45.291,1 May 2023 14:14:16.452,211.161
4,1 May 2023 15:45:39.978,1 May 2023 15:49:10.497,210.519
5,2 May 2023 09:34:53.097,2 May 2023 09:38:58.731,245.635
6,2 May 2023 11:10:15.344,2 May 2023 11:13:39.367,204.023
7,2 May 2023 12:44:42.877,2 May 2023 12:48:00.135,197.259
8,2 May 2023 14:19:09.016,2 May 2023 14:22:55.009,225.993
9,2 May 2023 15:54:31.979,2 May 2023 15:56:03.499,91.520
10,3 May 2023 08:10:45.637,3 May 2023 08:12:03.557,77.920
11,3 May 2023 09:43:42.344,3 May 2023 09:47:30.380,228.036
12,3 May 2023 11:18:39.876,3 May 2023 11:21:57.554,197.679
13,3 May 2023 12:53:00.949,3 May 2023 12:56:24.039,203.090
14,3 May 2023 14:27:39.675,3 May 2023 14:31:45.335,245.660
15,4 May 2023 08:17:40.334,4 May 2023 08:20:57.357,197.023
16,4 May 2023 09:52:22.185,4 May 2023 09:55:54.732,212.547
17,4 May 2023 11:26:59.942,4 May 2023 11:30:15.703,195.761
18,4 May 2023 13:01:21.175,4 May 2023 13:04:54.778,213.604
19,4 May 2023 14:36:20.553,4 May 2023 14:39:27.885,187.332
20,5 May 2023 08:25:32.529,5 May 2023 08:29:37.283,244.754
